"Country";"Operator Name";"MCC";"MNC";"Price(EUR)";"Details"
"Afghanistan";"Afghan Wireless Communication Company (AWCC)";"412";"1";"0.0046";"Dynamic Alphanumeric"
"Afghanistan";"Etisalat Afghanistan";"412";"50";"0.0515";"Dynamic Alphanumeric"
"Afghanistan";"MTN Afghanistan";"412";"40";"0.0040";"Random Numeric Sender"
"Afghanistan";"Roshan";"412";"20";"0.0595";"Dynamic Alphanumeric"
"Afghanistan";"Salaam Afghan Telecom";"412";"88 80";"0.0415";"Dynamic Alphanumeric"
"Albania";"ALBtelecom Albania";"276";"3";"0.0220";"Dynamic Alphanumeric"
"Albania";"Telekom Albania";"276";"1";"0.0065";"Dynamic Alphanumeric"
"Albania";"Vodafone Albania";"276";"2";"0.0085";"Dynamic Alphanumeric"
"Algeria";" Ooredoo Algeria";"603";"3";"0.0085";"Dynamic Alphanumeric"
"Algeria";"Algerie Telecom (Mobilis)";"603";"1";"0.0080";"Dynamic Alphanumeric"
"Algeria";"Orascom Telecom (Djezzy)";"603";"2";"0.0043";"Random Numeric Sender"
"American Samoa";"Blue Sky Communications";"544";"11";"0.0395";"Dynamic Alphanumeric"
"Andorra";"Andorra Telecom (Servei De Tele. DAndorra)";"213";"3";"0.0030";"Dynamic Alphanumeric"
"Angola";"Movicel Angola";"631";"4";"0.0055";"Dynamic Alphanumeric"
"Angola";"Unitel Angola";"631";"2";"0.0050";"Dynamic Alphanumeric"
"Anguilla";"Digicel Anguilla";"365";"50 930";"0.0170";"Dynamic Alphanumeric"
"Anguilla";"FLOW Anguilla (ex-C&W)";"365";"840";"0.0070";"Dynamic Alphanumeric"
"Antigua and Barbuda";"APUA PCS";"344";"30 3";"0.0085";"Dynamic Alphanumeric"
"Antigua and Barbuda";"Digicel Antigua";"344";"930 50";"0.0085";"Dynamic Alphanumeric"
"Antigua and Barbuda";"FLOW Antigua (LIME - CWC)";"344";"920";"0.0085";"Dynamic Alphanumeric"
"Argentina";"Claro Argentina (Cti Pcs)";"722";"310 320 330 31";"0.0040";"Dynamic Alphanumeric"
"Argentina";"Default (Unallocated Prefixes)";"722";"999";"0.0051";"Dynamic Alphanumeric"
"Argentina";"Nextel Argentina";"722";"2 20 0";"0.0051";"Dynamic Alphanumeric"
"Argentina";"Telecom Personal";"722";"34 341 340";"0.0060";"Dynamic Alphanumeric"
"Argentina";"Telefonica Moviles  Argentina (Movistar)";"722";"7 1 70 10";"0.0063";"Dynamic Alphanumeric"
"Armenia";"Beeline Armenia";"283";"1";"0.0175";"Dynamic Alphanumeric"
"Armenia";"Karabakh Telecom";"283";"4";"0.0045";"Numeric Sender Only"
"Armenia";"Ucom (Orange) Armenia";"283";"10";"0.0035";"Dynamic Alphanumeric"
